Temps,Vitesses,Intensites
0,29,39
1,40,31
2,36,58
3,34,56
4,72,70
5,57,55
6,76,36
7,34,40
8,45,38
9,22,44
10,57,41
11,63,56
12,59,77
13,71,38
14,68,65
15,75,54
16,25,67
17,25,36
18,42,32
19,76,29
20,73,79
21,75,65
22,80,36
23,49,20
24,36,29
25,61,32
26,56,57
27,76,35
28,21,51
29,72,74
30,32,79
31,26,42
32,37,48
33,57,59
34,40,36
35,30,45
36,75,21
37,56,54
38,65,77
39,65,47
40,59,23
41,28,45
42,37,39
43,80,41
44,21,34
45,64,48
46,64,44
47,70,27
48,20,51
49,78,61
50,79,75
51,22,66
52,28,38
53,80,57
54,68,29
55,30,66
56,50,25
57,73,73
58,51,29
59,70,48
60,31,63
61,58,38
62,22,73
63,26,51
64,49,51
65,65,57
66,55,63
67,44,34
68,55,24
69,62,42
70,50,69
71,46,53
72,34,56
73,37,54
74,41,61
75,47,41
76,73,27
77,22,51
78,45,51
79,45,34
80,27,76
81,80,66
82,50,34
83,46,54
